rt,trial_type,trial_index,time_elapsed,SubjectID,stimulus,button_pressed,PartExperiment
3385,button-response,2,24195,0hbyub76ak392shr1pn47v7yn50866sc,Strand,2,GermanArticles
3067,button-response,3,27321,0hbyub76ak392shr1pn47v7yn50866sc,Boot,2,GermanArticles
5247,button-response,4,32627,0hbyub76ak392shr1pn47v7yn50866sc,Chor,2,GermanArticles
1955,button-response,5,34645,0hbyub76ak392shr1pn47v7yn50866sc,Pfahl,0,GermanArticles
2523,button-response,6,37227,0hbyub76ak392shr1pn47v7yn50866sc,Preis,1,GermanArticles
3710,button-response,7,40995,0hbyub76ak392shr1pn47v7yn50866sc,Horn,0,GermanArticles
5241,button-response,8,46295,0hbyub76ak392shr1pn47v7yn50866sc,Berg,0,GermanArticles
4641,button-response,9,50995,0hbyub76ak392shr1pn47v7yn50866sc,Pflicht,0,GermanArticles
1776,button-response,10,52830,0hbyub76ak392shr1pn47v7yn50866sc,Nacht,1,GermanArticles
1988,button-response,11,54878,0hbyub76ak392shr1pn47v7yn50866sc,Frucht,0,GermanArticles
3224,button-response,12,58161,0hbyub76ak392shr1pn47v7yn50866sc,Beil,2,GermanArticles
3245,button-response,13,61462,0hbyub76ak392shr1pn47v7yn50866sc,Tour,0,GermanArticles
1660,button-response,14,63180,0hbyub76ak392shr1pn47v7yn50866sc,Tür,1,GermanArticles
2509,button-response,15,65745,0hbyub76ak392shr1pn47v7yn50866sc,Fleck,1,GermanArticles
3143,button-response,16,68945,0hbyub76ak392shr1pn47v7yn50866sc,Brust,1,GermanArticles
3561,button-response,17,72562,0hbyub76ak392shr1pn47v7yn50866sc,Stern,0,GermanArticles
4294,button-response,18,76912,0hbyub76ak392shr1pn47v7yn50866sc,Knie,2,GermanArticles
2159,button-response,19,79127,0hbyub76ak392shr1pn47v7yn50866sc,Licht,2,GermanArticles
1960,button-response,20,81143,0hbyub76ak392shr1pn47v7yn50866sc,Hemd,2,GermanArticles
3738,button-response,21,84938,0hbyub76ak392shr1pn47v7yn50866sc,Ohr,2,GermanArticles
1699,button-response,22,86694,0hbyub76ak392shr1pn47v7yn50866sc,Saal,1,GermanArticles
4679,button-response,23,91429,0hbyub76ak392shr1pn47v7yn50866sc,Kinn,0,GermanArticles
4879,button-response,24,96364,0hbyub76ak392shr1pn47v7yn50866sc,Bahn,0,GermanArticles
3446,button-response,25,99867,0hbyub76ak392shr1pn47v7yn50866sc,Baum,0,GermanArticles
4371,button-response,26,104298,0hbyub76ak392shr1pn47v7yn50866sc,Steak,2,GermanArticles
2609,button-response,27,106964,0hbyub76ak392shr1pn47v7yn50866sc,Sicht,0,GermanArticles
1577,button-response,28,108595,0hbyub76ak392shr1pn47v7yn50866sc,Uhr,2,GermanArticles
1393,button-response,29,110045,0hbyub76ak392shr1pn47v7yn50866sc,Kunst,1,GermanArticles
3848,button-response,30,113948,0hbyub76ak392shr1pn47v7yn50866sc,Spur,2,GermanArticles
2293,button-response,31,116297,0hbyub76ak392shr1pn47v7yn50866sc,Brot,2,GermanArticles
