Stimulus,Translation,DutchCognate,GermanGender,DutchSDGender,DutchSSDGender,AgreementValidation,CorrectResponse,ZipfNL,ZipfDE,LevenshteinDistance
Bahn,road,baan,feminine,common,feminine,89,1,5.2038065815,4.1330504369,0.25
Brust,breast,borst,feminine,common,feminine,86,1,4.4297718973,4.5390859172,0.3333333333
Fleck,stain,vlek,masculine,common,feminine,80,0,3.8358297962,4.1775956602,0.4
Hand,hand,hand,feminine,common,feminine,81,1,5.3047338253,5.439867604,0
Kunst,art,kunst,feminine,common,feminine,86,1,4.5733918667,4.5258147754,0
Platz,place,plaats,masculine,common,feminine,88,0,5.333048077,5.270664762,0.3333333333
Stern,star,ster,masculine,common,feminine,78,0,4.6452421252,4.4018957492,0.2
Tür,door,deur,feminine,common,feminine,85,1,5.3974210054,5.474646939,0.75
Baum,tree,boom,masculine,common,masculine,88,0,4.722149573,4.6833427242,0.5
Berg,mountain,berg,masculine,common,masculine,88,0,4.5394540392,4.5809644206,0
Boot,boat,boot,neuter,common,masculine,86,2,4.9859088264,4.9017684454,0
Deich,dyke,dijk,masculine,common,masculine,82,0,2.931275071,2.6751685402,0.6
Horn,horn,hoorn,neuter,common,masculine,81,2,3.9083804634,3.8335310323,0.2
Mund,mouth,mond,masculine,common,masculine,84,0,5.22383047,5.105082238,0.25
Nacht,night,nacht,feminine,common,masculine,81,1,5.3144594418,5.7607445099,0
Pfahl,pole,paal,masculine,common,masculine,83,0,3.8655004669,3.4310433959,0.4
Preis,price,prijs,masculine,common,masculine,87,0,4.9414833172,4.9035688989,0.3333333333
Quiz,quiz,quiz,neuter,common,masculine,89,2,3.3801066862,3.1936824801,0
Steak,steak,steak,neuter,common,masculine,88,2,3.715255865,4.076569081,0
Tour,tour,toer,feminine,common,masculine,89,1,3.3124633536,4.3215722664,0.25
Wurst,sausage,worst,feminine,common,masculine,81,1,3.9485340764,3.7615283709,0.2
Brot,bread,brood,neuter,neuter,neuter,99,2,4.5303906817,4.4689589249,0.4
Chor,choir,koor,masculine,neuter,neuter,98,0,3.8430802899,3.6880057649,0.5
Front,front,front,feminine,neuter,neuter,86,1,4.0220381896,4.1049208202,0
Hemd,shirt,hemd,neuter,neuter,neuter,98,2,4.0832326503,4.5331038049,0
Licht,light,licht,neuter,neuter,neuter,97,2,5.019459066,5.1648458319,0
Lohn,wage,loon,masculine,neuter,neuter,97,0,4.2811036837,4.0884683043,0.25
Ohr,ear,oor,neuter,neuter,neuter,97,2,4.4024874661,4.5531154918,0.3333333333
Park,park,park,masculine,neuter,neuter,99,0,4.4937286959,4.8150476266,0
Schaum,foam,schuim,masculine,neuter,neuter,92,0,3.5561979453,3.4675602297,0.2857142857
Schiff,ship,schip,neuter,neuter,neuter,99,2,5.0656761883,5.2461782125,0.3333333333
Sicht,sight,zicht,feminine,neuter,neuter,99,1,4.3742207077,4.3715249289,0.2
Spur,trace,spoor,feminine,neuter,neuter,97,1,4.6447883169,4.8022733386,0.4
Strand,beach,strand,masculine,neuter,neuter,98,0,4.6078451084,4.7041462454,0
Uhr,hour, clock,feminine,neuter,neuter,98,1,5.5463147113,5.5035706187,0.3333333333
Wald,forest,woud,masculine,neuter,neuter,98,0,3.7210081939,4.7668354978,0.5
Beil,axe,bijl,neuter,common,unknown,NA,2,3.9715993805,3.3086369958,0.4
Glut,glow,gloed,feminine,common,unknown,NA,1,3.3268611743,3.1375665381,0.6
Frucht,fruit,vrucht,feminine,common,variable,28,1,3.5184093844,3.6574397732,0.1666666667
Kinn,chin,kin,neuter,common,variable,25,2,3.897099453,3.839521396,0.25
Knie,knee,knie,neuter,common,variable,69,2,4.0153196879,4.6538054886,0
Pflicht,duty,plicht,feminine,common,variable,28,1,4.4529784583,4.623581506,0.1428571429
Saal,hall,zaal,masculine,common,variable,25,0,4.1923771197,3.9255885425,0.25
Stadt,city,stad,feminine,common,variable,25,1,5.4394224644,5.5577499938,0.2
