SubjectID,Sex,Age,NativeLanguage,NativeLanguage2,OtherNativeLanguage,Country,Town,KnowledgeDialect,UseDialect,Tussentaal,German,GermanClass
bpz8dxazqr5o3kkun5fa1ofjq6z7pfp3,male,27,mono-Dutch,NA,NA,NL,NA,nee,NA,NA,A1,nee 
92mlbn6gb4hxkmw3oancab3u78hp5hy1,female,34,mono-Dutch,NA,NA,NL,Haren,ja,1,NA,A1,ja 
zm5xhocjjwn7aaefsaeqapw3l25u7s1s,female,23,mono-Dutch,NA,NA,NL,Wijchen,nee,NA,NA,A1,ja 
3lkewt87ebtmu94k62qxjwyzt9ktv50n,male,51,mono-Dutch,NA,NA,BE,Maasmechelen,ja,1,2,A2,nee 
py8gvus83e1qpg3oe5nmfkfgn0jf1x03,female,23,mono-Dutch,NA,NA,NL,Veldhoven,nee,NA,NA,A1,ja 
r2mwr8g88ks3tfrmf4jfss7la99qckfx,female,27,mono-Dutch,NA,NA,NL,Eindhoven,nee,NA,NA,A2,ja 
kdb5y777cl1kxytxehvu1qmw0sptgur9,female,23,mono-Dutch,NA,NA,NL,Delft,nee,NA,NA,A2,ja 
bfbcgrukzt6007l0rketpr3vt8p4y5sg,female,25,mono-Dutch,NA,NA,NL,IJsselstein,nee,NA,NA,A1,ja 
yjg84vsx3xv56c7ekcgnzebfxo3bh1mr,female,23,mono-Dutch,NA,NA,NL,Tiel,nee,NA,NA,A1,ja 
0rmtvo01rhoqnlkzsljs83nkab13vh5j,female,25,mono-Dutch,NA,NA,NL,Eindhoven,nee,NA,NA,A1,ja 
pjh7xoxzvakksot6qex5ov2ef9yme7ck,female,32,mono-Dutch,NA,NA,NL,Capelle aan den IJssel,nee,NA,NA,A2,ja 
ob7q9rzv978ov5x5eg8u53f2yrfqxfzh,male,32,mono-Dutch,NA,NA,BE,Maaseik,ja,2,2,B2,ja 
nz3okaqdertgddqeoylmx2hkjdeeyh2j,female,51,mono-Dutch,NA,NA,NL,Groningen,ja,2,NA,B2,ja 
5t6owzhkgjqexeungghc1h6h4u1r9vx2,female,34,mono-Dutch,NA,NA,NL,Nijmegen,nee,NA,NA,B1,ja 
1o1ez7beujndl15gfaqq1kkj34egdu8n,female,21,mono-Dutch,NA,NA,NL,Haren,nee,NA,NA,B1,ja 
ex52dxkt4ttch3z0fv40bxuxo3csk6te,male,18,mono-Dutch,NA,NA,NL,Zundert,ja,1,NA,A1,ja 
y22w2x1psgdnvcqn2n9ufqtpnv0cwr13,male,19,mono-Dutch,NA,NA,NL,Groningen,ja,1,NA,B1,ja 
kb15c8l2dg6k5zjgfblwo486dpg7gxe4,male,18,mono-Dutch,NA,NA,NL,Assen,nee,NA,NA,A2,ja 
s7mjalghtr8dut8qyjgd510qj1pjws78,male,19,mono-Dutch,NA,NA,NL,Winterswijk,nee,NA,NA,B1,ja 
hd5wvtp9ecf7ua6o5cphzmssvvbbpo4j,female,20,mono-Dutch,NA,NA,NL,Woerden,nee,NA,NA,B2,ja 
9jamouk6673lx7awu7gcuz7p5925cffq,female,21,mono-Dutch,NA,NA,NL,Assen,nee,NA,NA,A2,ja 
tt4ywzemlzv5mogqxx9mh68kpec5189h,female,22,mono-Dutch,NA,NA,NL,NA,ja,1,NA,A1,ja 
tz4ckrlmdl7rt2rs9mw2cucos94at4ws,female,20,mono-Dutch,NA,NA,NL,Raalte,nee,NA,NA,A2,ja 
tzg0jdc7n8zzaglj0m2q4k12fuktzww6,female,20,mono-Dutch,NA,NA,NL,Assen,nee,NA,NA,A1,ja 
vy695hy2collmvz9jdc4pl755wz5qs6a,male,18,mono-Dutch,NA,NA,NL,Emmen,nee,NA,NA,A2,ja 
znace2gl5m9lqv4x4spm171a2cf6tk88,female,17,mono-Dutch,NA,NA,NL,Apeldoorn,nee,NA,NA,A1,ja 
