Item,ModelTranslation,SUBTLEX,Zipf,Category,LevStringGer,POS,LevDist
wapen,Waffen,127.05,5.1008640623,other cognate,waffen,N,0.2857142857
willen,wollen,887.87,5.9451234702,other cognate,wollen,V,0.1428571429
moenter,munter,5.79,3.762376562,oe cognate,munter,A,0.25
blij,froh,117.8,5.0680452478,non-cognate,froh,A,0.8
strijd,Streit,33.82,4.5264337225,ij cognate,streit,N,0.375
openen,öffnen,71.38,4.8505708543,other cognate,offnen,V,0.2857142857
compleet,komplett,32.32,4.506754908,other cognate,komplett,A,0.2222222222
gezoend,gesund,48.94,4.6867680382,oe cognate,gesund,A,0.375
duf,muffig,0.28,2.501050957,non-cognate,muffig,A,0.5714285714
abdij,Abtei,1.02,3.0218031059,ij cognate,abtei,N,0.5
hoesten,husten,7.05,3.847362564,oe cognate,husten,V,0.25
overdreven,übertrieben,14.84,4.1693394168,other cognate,ubertrieben,A,0.4545454545
gebied,Gebiet,33.62,4.5238608325,other cognate,gebiet,N,0.1428571429
slank,schlank,4.61,3.6641490773,other cognate,schlank,A,0.2857142857
zeggen,sagen,1458.48,6.160667032,other cognate,sagen,V,0.4285714286
zinken,sinken,6.58,3.8175715846,other cognate,sinken,V,0.1428571429
nat,nass,19.45,4.2865526639,other cognate,nass,A,0.4
pakken,packen,28.58,4.4534149222,other cognate,packen,V,0.1428571429
afstand,Abstand,12.09,4.0805931274,other cognate,abstand,N,0.125
poetsen,putzen,12.24,4.0859309683,oe cognate,putzen,V,0.375
laatst,letzt,2.36,3.3768523221,other cognate,letzt,A,0.4285714286
zwijn,Schwein,62.09,4.7900517905,ij cognate,schwein,N,0.5555555556
kiezen,wählen,32.84,4.5136783373,non-cognate,wahlen,V,0.5714285714
leuk,toll,298.95,5.4724105806,non-cognate,toll,A,0.8
stad,Stadt,303.52,5.4789984753,other cognate,stadt,N,0.1666666667
hijt,heiss,87.09,4.9369194116,ij cognate,heiss,A,0.5
veranderen,verändern,31.46,4.4950567186,other cognate,verandern,V,0.0909090909
zegen,Segen,13.07,4.1143367005,other cognate,segen,N,0.1666666667
donderdag,Donnerstag,19.76,4.2934062344,other cognate,donnerstag,N,0.3
bijten,beissen,14.02,4.1447207364,ij cognate,beissen,V,0.375
glad,glatt,12.91,4.10900352,other cognate,glatt,A,0.3333333333
plant,Pflanze,10.59,4.0232624155,other cognate,pflanze,N,0.4285714286
sterven,sterben,323.75,5.5070174191,other cognate,sterben,V,0.125
grap,Witz,83.19,4.9170314454,non-cognate,witz,N,0.8
verliezen,verlieren,130.28,5.1117638071,other cognate,verlieren,V,0.1
tijd,Zeit,1071.18,6.0266332480000004,ij cognate,zeit,N,0.6666666667
liever,lieber,289.18,5.4579822084,other cognate,lieber,A,0.1428571429
dwingen,zwingen,21.26,4.3251216184,other cognate,zwingen,V,0.125
broek,Hose,40.4,4.6035592274,non-cognate,hose,N,0.6666666667
geluk,Glück,277.73,5.4404391865,other cognate,gluck,N,0.2857142857
overigens,übrigens,68.98,4.8357258305,other cognate,ubrigens,A,0.3
groep,Gruppe,52.48,4.7170743504,oe cognate,gruppe,N,0.5
kroon,Krone,9.06,3.9557662256,other cognate,krone,N,0.3333333333
geweld,Gewalt,41.46,4.6147963496,other cognate,gewalt,N,0.2857142857
zitten,sitzen,114.3,5.0549506309,other cognate,sitzen,V,0.2857142857
schoen,Schuh,14.45,4.1578043773,oe cognate,schuh,N,0.4285714286
