Subject	Item	GermanPillai	Duration	Step	LevelEnglish	SelVowel1	ReactionTime
1	pen_pan	0.745753204	short	8	mid	0	2646
1	pen_pan	0.745753204	short	10	mid	0	1422
1	pen_pan	0.745753204	short	2	mid	1	1266
1	pen_pan	0.745753204	short	6	mid	1	1214
1	pen_pan	0.745753204	short	3	mid	1	1689
1	pen_pan	0.745753204	short	7	mid	1	914
1	pen_pan	0.745753204	short	9	mid	1	898
1	pen_pan	0.745753204	short	5	mid	1	2045
1	pen_pan	0.745753204	short	11	mid	0	1131
1	pen_pan	0.745753204	short	4	mid	0	2091
1	pen_pan	0.745753204	short	1	mid	1	1416
1	pen_pan	0.745753204	short	6	mid	1	1909
1	pen_pan	0.745753204	short	5	mid	0	687
1	pen_pan	0.745753204	short	10	mid	0	968
1	pen_pan	0.745753204	short	8	mid	0	1127
1	pen_pan	0.745753204	short	3	mid	0	1307
1	pen_pan	0.745753204	short	2	mid	1	1637
1	pen_pan	0.745753204	short	11	mid	0	2207
1	pen_pan	0.745753204	short	1	mid	1	1295
1	pen_pan	0.745753204	short	7	mid	1	1906
1	pen_pan	0.745753204	short	4	mid	0	1697
1	pen_pan	0.745753204	short	9	mid	0	2048
1	pen_pan	0.745753204	short	5	mid	0	2042
1	pen_pan	0.745753204	short	10	mid	0	1800
1	pen_pan	0.745753204	short	4	mid	0	1605
1	pen_pan	0.745753204	short	9	mid	0	1365
1	pen_pan	0.745753204	short	11	mid	0	1586
1	pen_pan	0.745753204	short	8	mid	0	1077
1	pen_pan	0.745753204	short	1	mid	1	1827
1	pen_pan	0.745753204	short	3	mid	1	1516
1	pen_pan	0.745753204	short	7	mid	1	2903
1	pen_pan	0.745753204	short	6	mid	1	3227
1	pen_pan	0.745753204	short	2	mid	0	1316
1	pedal_paddle	0.745753204	short	2	mid	1	1397
1	pedal_paddle	0.745753204	short	1	mid	1	727
1	pedal_paddle	0.745753204	short	11	mid	1	1189
1	pedal_paddle	0.745753204	short	8	mid	1	885
1	pedal_paddle	0.745753204	short	4	mid	1	840
1	pedal_paddle	0.745753204	short	3	mid	1	2080
1	pedal_paddle	0.745753204	short	10	mid	1	2045
1	pedal_paddle	0.745753204	short	9	mid	1	1295
1	pedal_paddle	0.745753204	short	6	mid	1	823
1	pedal_paddle	0.745753204	short	7	mid	1	1104
1	pedal_paddle	0.745753204	short	5	mid	1	2032
1	pedal_paddle	0.745753204	short	10	mid	1	865
1	pedal_paddle	0.745753204	short	8	mid	1	810
1	pedal_paddle	0.745753204	short	7	mid	1	771
1	pedal_paddle	0.745753204	short	5	mid	1	1100
1	pedal_paddle	0.745753204	short	9	mid	0	3011
1	pedal_paddle	0.745753204	short	3	mid	1	1142
1	pedal_paddle	0.745753204	short	1	mid	1	1039
1	pedal_paddle	0.745753204	short	2	mid	1	1250
1	pedal_paddle	0.745753204	short	6	mid	1	1322
1	pedal_paddle	0.745753204	short	4	mid	1	1026
1	pedal_paddle	0.745753204	short	11	mid	1	1211
1	pedal_paddle	0.745753204	short	1	mid	1	1169
1	pedal_paddle	0.745753204	short	8	mid	1	1069
1	pedal_paddle	0.745753204	short	6	mid	1	947
1	pedal_paddle	0.745753204	short	11	mid	1	820
1	pedal_paddle	0.745753204	short	10	mid	1	1200
1	pedal_paddle	0.745753204	short	3	mid	1	945
1	pedal_paddle	0.745753204	short	7	mid	1	980
1	pedal_paddle	0.745753204	short	2	mid	1	1108
1	pedal_paddle	0.745753204	short	9	mid	1	902
1	pedal_paddle	0.745753204	short	4	mid	1	1479
1	pedal_paddle	0.745753204	short	5	mid	1	978
2	pen_pan	0.698347014	short	7	mid	0	1989
2	pen_pan	0.698347014	short	5	mid	1	2203
2	pen_pan	0.698347014	short	6	mid	0	2127
2	pen_pan	0.698347014	short	4	mid	0	1606
2	pen_pan	0.698347014	short	1	mid	1	775
2	pen_pan	0.698347014	short	9	mid	0	834
2	pen_pan	0.698347014	short	11	mid	0	822
2	pen_pan	0.698347014	short	3	mid	1	608
2	pen_pan	0.698347014	short	2	mid	1	953
2	pen_pan	0.698347014	short	10	mid	0	644
2	pen_pan	0.698347014	short	8	mid	0	1038
2	pen_pan	0.698347014	short	10	mid	0	838
2	pen_pan	0.698347014	short	4	mid	1	1677
2	pen_pan	0.698347014	short	3	mid	1	826
2	pen_pan	0.698347014	short	11	mid	0	788
2	pen_pan	0.698347014	short	9	mid	0	1038
2	pen_pan	0.698347014	short	2	mid	1	756
2	pen_pan	0.698347014	short	5	mid	1	829
2	pen_pan	0.698347014	short	8	mid	0	787
2	pen_pan	0.698347014	short	1	mid	1	850
2	pen_pan	0.698347014	short	6	mid	1	605
2	pen_pan	0.698347014	short	7	mid	0	629
2	pen_pan	0.698347014	short	3	mid	1	744
2	pen_pan	0.698347014	short	8	mid	1	768
2	pen_pan	0.698347014	short	7	mid	1	3349
2	pen_pan	0.698347014	short	10	mid	0	977
2	pen_pan	0.698347014	short	9	mid	0	665
2	pen_pan	0.698347014	short	2	mid	1	627
2	pen_pan	0.698347014	short	5	mid	1	880
2	pen_pan	0.698347014	short	6	mid	1	526
2	pen_pan	0.698347014	short	11	mid	0	840
2	pen_pan	0.698347014	short	1	mid	1	721
2	pen_pan	0.698347014	short	4	mid	1	676
2	pedal_paddle	0.698347014	short	9	mid	0	3799
2	pedal_paddle	0.698347014	short	10	mid	0	3683
2	pedal_paddle	0.698347014	short	1	mid	1	1240
2	pedal_paddle	0.698347014	short	7	mid	0	1459
2	pedal_paddle	0.698347014	short	5	mid	0	3495
2	pedal_paddle	0.698347014	short	3	mid	1	1021
2	pedal_paddle	0.698347014	short	2	mid	1	650
2	pedal_paddle	0.698347014	short	6	mid	1	5372
2	pedal_paddle	0.698347014	short	11	mid	1	1476
2	pedal_paddle	0.698347014	short	4	mid	0	803
2	pedal_paddle	0.698347014	short	8	mid	0	1616
2	pedal_paddle	0.698347014	short	6	mid	0	1046
2	pedal_paddle	0.698347014	short	4	mid	1	758
2	pedal_paddle	0.698347014	short	7	mid	1	2054
2	pedal_paddle	0.698347014	short	2	mid	0	1025
2	pedal_paddle	0.698347014	short	8	mid	0	1120
2	pedal_paddle	0.698347014	short	10	mid	1	726
2	pedal_paddle	0.698347014	short	9	mid	1	1957
2	pedal_paddle	0.698347014	short	5	mid	0	838
2	pedal_paddle	0.698347014	short	1	mid	0	1451
2	pedal_paddle	0.698347014	short	3	mid	0	1216
2	pedal_paddle	0.698347014	short	11	mid	1	927
2	pedal_paddle	0.698347014	short	6	mid	1	3722
2	pedal_paddle	0.698347014	short	1	mid	1	1924
2	pedal_paddle	0.698347014	short	2	mid	0	1419
2	pedal_paddle	0.698347014	short	4	mid	0	1056
2	pedal_paddle	0.698347014	short	11	mid	1	890
2	pedal_paddle	0.698347014	short	9	mid	1	991
2	pedal_paddle	0.698347014	short	5	mid	1	3100
2	pedal_paddle	0.698347014	short	8	mid	0	1298
2	pedal_paddle	0.698347014	short	7	mid	0	646
2	pedal_paddle	0.698347014	short	10	mid	0	590
2	pedal_paddle	0.698347014	short	3	mid	0	655
3	pen_pan	0.715623119	short	9	high	0	1119
3	pen_pan	0.715623119	short	6	high	0	944
3	pen_pan	0.715623119	short	11	high	0	760
3	pen_pan	0.715623119	short	5	high	1	1852
3	pen_pan	0.715623119	short	8	high	0	844
3	pen_pan	0.715623119	short	2	high	1	737
3	pen_pan	0.715623119	short	3	high	1	1487
3	pen_pan	0.715623119	short	1	high	1	731
3	pen_pan	0.715623119	short	10	high	0	670
3	pen_pan	0.715623119	short	7	high	0	699
3	pen_pan	0.715623119	short	4	high	1	1390
3	pen_pan	0.715623119	short	1	high	1	880
3	pen_pan	0.715623119	short	3	high	1	1236
3	pen_pan	0.715623119	short	10	high	0	670
3	pen_pan	0.715623119	short	4	high	0	940
3	pen_pan	0.715623119	short	6	high	0	748
3	pen_pan	0.715623119	short	9	high	0	581
3	pen_pan	0.715623119	short	11	high	0	552
3	pen_pan	0.715623119	short	8	high	0	562
3	pen_pan	0.715623119	short	5	high	0	1119
3	pen_pan	0.715623119	short	2	high	1	706
3	pen_pan	0.715623119	short	7	high	0	876
3	pen_pan	0.715623119	short	4	high	0	660
3	pen_pan	0.715623119	short	8	high	0	729
3	pen_pan	0.715623119	short	5	high	0	811
3	pen_pan	0.715623119	short	3	high	0	749
3	pen_pan	0.715623119	short	1	high	1	680
3	pen_pan	0.715623119	short	10	high	0	640
3	pen_pan	0.715623119	short	7	high	0	601
3	pen_pan	0.715623119	short	6	high	0	559
3	pen_pan	0.715623119	short	9	high	0	451
3	pen_pan	0.715623119	short	11	high	0	482
3	pen_pan	0.715623119	short	2	high	1	692
3	pedal_paddle	0.715623119	short	4	high	0	1942
3	pedal_paddle	0.715623119	short	1	high	1	591
3	pedal_paddle	0.715623119	short	11	high	0	648
3	pedal_paddle	0.715623119	short	10	high	0	574
3	pedal_paddle	0.715623119	short	2	high	1	498
3	pedal_paddle	0.715623119	short	7	high	0	594
3	pedal_paddle	0.715623119	short	5	high	0	626
3	pedal_paddle	0.715623119	short	3	high	1	558
3	pedal_paddle	0.715623119	short	8	high	0	617
3	pedal_paddle	0.715623119	short	9	high	0	610
3	pedal_paddle	0.715623119	short	6	high	0	823
3	pedal_paddle	0.715623119	short	1	high	1	545
3	pedal_paddle	0.715623119	short	8	high	0	641
3	pedal_paddle	0.715623119	short	2	high	1	732
3	pedal_paddle	0.715623119	short	7	high	0	700
3	pedal_paddle	0.715623119	short	3	high	1	634
