;VPNID;X.x;Sco1R_Nb_mots;Sco1R_titre;Sco1R_Signature;Sco1R_GP;Sco1R_Fid;Sco1R_unitThem;Sco1R_unitThemNbre;Sco1R_Destinataire;Sco1R_AncrTemp_Echelle;Sco1R_AncrTemp_occurences;Sco1R_ProgrChrono_Occ;Sco1R_ProgrChrono;Sco1R_AncrSpat;Sco1R_RéfSpat;Sco1R_Textual;Sco1R_Coh_verb;Sco1R_Description;Sco1R_Ponct;Sco1R_Maj;Sco1R_Synt;Sco1R_Genre;Sco1R_Nombre;Sco1R_Cas;Sco1R_Verbal;Sco1R_Dialekt;Sco1R_remarques;P1R_Nb_mots;P1R_titre;P1R_Signature;P1R_GP;P1R_Fid;P1R_unitThem;P1R_unitThemNbre;P1R_Destinataire;P1R_AncrTemp_Echelle;P1R_AncrTemp_occurences;P1R_ProgrChrono_Occ;P1R_ProgrChrono;P1R_AncrSpat;P1R_RéfSpat;P1R_Textual;P1R_Coh_verb;P1R_Description;P1R_Ponct;P1R_Maj;P1R_Synt;P1R_Genre;P1R_Nombre;P1R_Verbal;P1R_remarques;Sco2R_Nb_mots;Sco2R_titre;Sco2R_Signature;Sco2R_GP;Sco2R_Fid;Sco2R_unitThem;Sco2R_unitThemNbre;Sco2R_Destinataire;Sco2R_AncrTemp_Echelle;Sco2R_AncrTemp_occurences;Sco2R_ProgrChrono_Occ;Sco2R_ProgrChrono;Sco2R_AncrSpat;Sco2R_RéfSpat;Sco2R_Textual;Sco2R_Coh_verb;Sco2R_Description;Sco2R_Ponct;Sco2R_Maj;Sco2R_Synt;Sco2R_Genre;Sco2R_Nombre;Sco2R_Cas;Sco2R_Verbal;Sco2R_Dialekt;Sco2R_remarques;P2R_Nb_mots;P2R_titre;P2R_Signature;P2R_GP;P2R_Fid;P2R_unitThem;P2R_unitThemNbre;P2R_Destinataire;P2R_AncrTemp_Echelle;P2R_AncrTemp_occurences;P2R_ProgrChrono_Occ;P2R_ProgrChrono;P2R_AncrSpat;P2R_RéfSpat;P2R_Textual;P2R_Coh_verb;P2R_Description;P2R_Ponct;P2R_Maj;P2R_Synt;P2R_Genre;P2R_Nombre;P2R_Verbal;P2R_remarques;Sco3R_Nb_mots;Sco3R_titre;Sco3R_Signature;Sco3R_GP;Sco3R_Fid;Sco3R_unitThem;Sco3R_unitThemNbre;Sco3R_Destinataire;Sco3R_AncrTemp_Echelle;Sco3R_AncrTemp_occurences;Sco3R_ProgrChrono_Occ;Sco3R_ProgrChrono;Sco3R_AncrSpat;Sco3R_RéfSpat;Sco3R_Textual;Sco3R_Coh_verb;Sco3R_Description;Sco3R_Ponct;Sco3R_Maj;Sco3R_Synt;Sco3R_Genre;Sco3R_Nombre;Sco3R_Cas;Sco3R_Verbal;Sco3R_Dialekt;Sco3R_remarques;P3R_Nb_mots;P3R_titre;P3R_Signature;P3R_GP;P3R_Fid;P3R_unitThem;P3R_unitThemNbre;P3R_Destinataire;P3R_AncrTemp_Echelle;P3R_AncrTemp_occurences;P3R_ProgrChrono_Occ;P3R_ProgrChrono;P3R_AncrSpat;P3R_RéfSpat;P3R_Textual;P3R_Coh_verb;P3R_Description;P3R_Ponct;P3R_Maj;P3R_Synt;P3R_Genre;P3R_Nombre;P3R_Verbal;P3R_remarques;hkngroup;Schulsprache;zweiSprachig;Group;PartDef;X.y;Sco1A_Nb_mots;Sco1A_Lieu;Sco1A_Date;Sco1A_Appel;Sco1A_Salutation;Sco1A_Signature;Sco1A_GP;Sco1A_Objet;Sco1A_Raisons;Sco1A_TC;Sco1A_Articulation;Sco1A_Destinataire;Sco1A_Organisateurs;Sco1A_Coh_verb;Sco1A_Ponct;Sco1A_Maj;Sco1A_Synt;Sco1A_Genre;Sco1A_Nombre;Sco1A_Cas;Sco1A_Verbal;Sco1A_Dialekt;P1A_Nb_mots;P1A_Lieu;P1A_Date;P1A_Appel;P1A_salutation;P1A_Signature;P1A_GP;P1A_Objet;P1A_Raisons;P1A_TC;P1A_Articulation;P1A_Destinataire;P1A_Organisateurs;P1A_Coh_verb;P1A_Ponct;P1A_Maj;P1A_Synt;P1A_Genre;P1A_Nombre;P1A_Cas;P1A_Verbal;Sco2A_Nb_mots;Sco2A_Lieu;Sco2A_Date;Sco2A_Appel;Sco2A_Salutation;Sco2A_Signature;Sco2A_GP;Sco2A_Objet;Sco2A_Raisons;Sco2A_TC;Sco2A_Articulation;Sco2A_Destinataire;Sco2A_Organisateurs;Sco2A_Coh_verb;Sco2A_Ponct;Sco2A_Maj;Sco2A_Synt;Sco2A_Genre;Sco2A_Nombre;Sco2A_Cas;Sco2A_Verbal;Sco2A_Dialekt;P2A_Nb_mots;P2A_Lieu;P2A_Date;P2A_Appel;P2A_Psalutation;P2A_Signature;P2A_GP;P2A_Objet;P2A_Raisons;P2A_TC;P2A_Articulation;P2A_Destinataire;P2A_Organisateurs;P2A_Coh_verb;P2A_Ponct;P2A_Maj;P2A_Synt;P2A_Genre;P2A_Nombre;P2A_Cas;P2A_Verbal;Sco3A_Nb_mots;Sco3A_Lieu;Sco3A_Date;Sco3A_Appel;Sco3A_Salutation;Sco3A_Signature;Sco3A_GP;Sco3A_Objet;Sco3A_Raisons;Sco3A_TC;Sco3A_Articulation;Sco3A_Destinataire;Sco3A_Organisateurs;Sco3A_Coh_verb;Sco3A_Ponct;Sco3A_Maj;Sco3A_Synt;Sco3A_Genre;Sco3A_Nombre;Sco3A_Cas;Sco3A_Verbal;Sco3A_Dialekt;P3A_Nb_mots;P3A_Lieu;P3A_Date;P3A_Appel;P3A_salutation;P3A_Signature;P3A_GP;P3A_Objet;P3A_Raisons;P3A_TC;P3A_Articulation;P3A_Destinataire;P3A_Organisateurs;P3A_Coh_verb;P3A_Ponct;P3A_Maj;P3A_Synt;P3A_Genre;P3A_Nombre;P3A_Cas;P3A_Verbal
31;AB_PLD_1;34;35;0;0;0;1;"""im Wald, Holzsuchen, Feuer machen, Essen, Spielen, Zugfahrt""";6;0;0;NA;"""und dann(1), und wieder(1), und(2)""";3;1;2;3;2;2;1;0;2;0;0;0;2;nein;NA;14;0;0;0;1;praia, sol, casa, piscina;4;0;0;NA;0;0;1;0;1;3;2;0;2;2;0;0;1;NA;29;0;0;0;1;"""mit Familie, Portugal, Strand, Sand, Meer, Ferienhaus""";6;0;0;NA;"""und(1)""";1;1;2;3;1;2;1;1;1;0;0;1;0;nein;NA;23;0;0;0;NA;dormir, sonhar, acordar, sofá, dormir;5;0;0;NA;outra vez;1;0;0;0;3;1;0;2;2;0;0;1;a écrit au présent;47;0;0;0;1;"""Ferien, Portugal, Strand, cool, Surf, Schiff, Ferien""";7;0;0;NA;"""und(1)""";1;1;0;1;2;3;0;0;0;0;0;2;0;nein;difficile à déchiffrer;33;0;0;0;1;ferias, Portugal, algarve, praia, familia, amigos, fixe, brincar, irmã, castelos;10;0;0;NA;0;0;1;0;1;3;3;0;1;2;0;0;4;NA;PLD;d;1;d1;1;8;24;0;0;1;0;0;1;1;2;3;1;1;2;1;0;1;2;0;0;0;2;nein;13;0;0;0;0;0;0;1;1;2;0;0;1;1;1;2;1;0;0;NA;1;35;0;0;1;0;0;1;1;3;4;2;1;2;2;1;1;2;0;0;1;1;nein;24;0;0;1;0;0;1;1;3;4;1;1;1;1;0;1;3;0;0;NA;0;34;0;0;1;0;0;1;1;2;3;2;1;1;1;0;1;0;1;0;0;0;nein;39;0;0;1;0;0;1;1;3;4;1;1;1;1;1;1;3;0;0;NA;1
32;AB_PLD_2;35;39;0;0;0;1;"""Schulreise, Bauernhof, Kühe, spielen, andere Kinder, nichts machen, morgen, Milch""";8;0;1;"""am Morgen""";NA;0;1;0;2;2;2;1;1;2;0;0;1;0;nein;NA;44;0;0;0;1;dia, praia, família, buzios, beijinhos, rochas;6;0;0;NA;depois ;0;1;0;1;3;2;1;2;4;0;0;0;NA;60;1;0;1;0;"""1. Mai, Ausflug, Morgen bis Abend, reisen, Zug, Italien, Schiff, Spiez nach Thun, See, nach Hause, Bett""";11;0;2;"""1.Mai, 6.00 am Morgen bis 9.00 Abend, 11.00h""";"""nochmals(1)""";1;1;0;3;1;2;1;1;2;1;0;3;1;nein;Familienreise statt Schulreise;94;1;0;1;1;férias, sitios, autocarro, mellingen, baden, comboio, Italia, 206 metros, riacho, pedras, restaurante, pizza, spiez, barco, thun, casa, cama;17;0;1;as minhas últimas férias;no inicio, às 6:00 da manhã, e no fim, a seguir;4;1;2;4;3;2;1;2;4;0;0;1;NA;74;1;0;1;0;"""Wochenende, Samstagmorgens, Deutschland, 600km, Auto, Düsseldorf, besser, gefallen, Dom, Kirche, Brücke, Paris, schön und heiss""";13;0;1;"""Samstagmorgens""";NA;0;1;0;2;2;3;1;1;2;2;0;2;0;nein;ein schöner Wochenende (compté comme erreur de cas);83;1;0;1;1;ferias, dia, magoar-se, irmã, vizinho, bola, sardinha, jogo, correr, escurregar, acabar, mãe, brincar, fora, sorte, partir;17;0;0;NA;depois;1;1;2;3;3;3;1;2;4;0;1;0;NA;PLD;d;1;d1;1;35;30;0;0;1;0;0;1;1;1;2;2;1;1;2;1;2;4;0;0;0;0;nein;40;0;0;1;0;0;1;1;3;4;3;1;2;1;2;2;4;0;0;NA;0;57;0;0;1;0;0;1;1;3;4;2;1;2;2;2;1;4;0;1;4;3;nein;67;0;0;1;1;1;3;1;3;4;3;1;2;3;1;2;4;0;0;NA;2;50;0;0;1;1;1;3;1;2;3;3;1;1;1;1;1;3;0;0;2;0;nein;72;0;0;1;0;1;2;1;3;4;3;1;3;3;2;2;4;0;0;NA;0
33;AB_PLD_3;36;8;0;0;0;0;"""Wald, Niederohrdorfen""";2;0;0;NA;NA;0;1;0;1;1;1;0;1;0;0;0;0;0;nein;NA;9;1;0;1;1;dez metros, árvore;2;0;0;NA;0;0;0;0;0;1;1;0;2;1;0;2;1;NA;67;0;0;0;1;"""Wald, Kollegen, dunkel, Zelt, Feuer, allein, Feuer, Reh, WC, morgen, Vögel, Schnitzen, Pfeilbogen""";13;0;1;"""morgen""";"""dann(1)""";1;1;0;2;2;3;1;0;2;0;0;2;0;nein;NA;41;0;0;0;1;férias, barco, madagascar, macacos, banana, x, y, banana;8;0;0;NA;e depois;1;1;2;3;3;2;1;1;4;0;0;6;NA;78;0;0;0;1;"""zu Fuss, Baden, Montag, Spiele, 12 Uhr, essen, Freizeit, schnitzen, beleidigen, 6 Uhr bis 7 Uhr, Nacht""";11;0;2;"""am Montag am Morgen, 12 Uhr, 12 Uhr bis 6 Uhr, von 6 Uhr bis 7 Uhr""";"""dann(1)""";1;1;0;3;3;2;0;0;0;0;0;0;0;ja;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;PLD;d;1;d1;1;36;25;0;0;1;0;0;1;1;2;3;3;1;1;1;0;0;1;0;0;0;0;nein;NA;0;0;0;0;0;NA;0;0;NA;0;0;0;0;0;0;0;0;0;NA;0;41;0;0;1;0;0;1;1;2;3;2;1;2;2;0;0;1;0;0;1;0;ja;21;0;0;1;0;0;1;1;3;4;1;1;1;1;1;2;1;0;0;NA;0;34;0;0;1;0;0;1;1;3;4;2;1;1;1;1;1;1;0;0;1;0;nein;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
34;AB_PLD_4;37;39;0;0;0;1;"""Museum, Dinosaurier, Film, Knochen, schön""";5;0;0;NA;"""und(3)""";1;1;2;3;2;3;1;2;1;0;0;1;0;ja;NA;17;0;0;0;1;mallorca, mar, festa;3;0;0;NA;depois ;1;1;0;1;1;2;1;2;3;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;26;0;0;0;1;alpamare, escurregas, andar, dia, fixe;5;0;0;NA;quase o dia inteiro;1;1;2;3;3;3;1;1;4;0;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;49;0;0;0;1;mallorca, praia, sol, nadar, queimadura, costas, tempo, dias, hotel, piscina, bar;11;0;0;NA;todos os dias, ao fim, 3 dias;3;1;2;3;3;2;0;2;2;0;0;0;NA;PLD;d;1;d1;1;37;54;0;0;1;0;0;1;1;2;3;2;1;3;1;1;2;3;0;0;2;0;nein;47;0;0;1;0;0;1;1;3;4;3;1;2;3;2;2;4;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;NA;NA;NA;67;0;0;1;1;1;3;1;3;4;3;1;2;3;1;2;4;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;0;0;0;0;0;0;1;3;4;1;1;2;2;1;2;3;0;0;NA;2
35;AB_PLD_5;38;32;0;0;0;1;"""Tierpark, am Mittag, braten, spielen, Tiere anschauen, 16.30, Zug zurück""";7;0;2;"""um 16.30 Uhr, am Mittag""";"""dann(1), danach(1)""";2;1;0;3;2;1;0;0;1;0;0;0;0;nein;NA;17;0;0;0;1;Portugal, férias, bonito, quente;4;0;0;NA;0;0;0;0;0;3;NA;1;1;3;0;0;2;a écrit une argumentation;46;0;0;0;1;"""Zoo, Klasse, Zug, Tiere, lustig mit Freunden, Spass""";6;0;0;NA;"""und(2)""";1;1;0;1;2;3;0;1;1;0;0;0;0;nein;NA;47;0;1;1;1;Portugal, lindo, calor, vagos, casa, lisboa, piscina, gostar;9;0;0;NA;0;0;1;0;1;3;2;0;4;2;0;0;1;NA;44;0;0;0;1;"""Barcelona, passieren, cool, laufen, Stadt, Restaurant, Strand, cool, vergessen""";9;0;0;NA;"""und(1)""";1;1;0;1;2;3;1;1;1;0;0;0;0;nein;NA;46;0;0;0;1;barcelona, ver, restaurante, gostar, espanhol, mãe, pai, irmão, madrinha, padrinho, gostar;11;0;0;NA;0;0;1;0;1;3;3;0;2;2;0;0;1;NA;PLD;d;1;d1;1;38;22;0;0;1;0;0;1;1;3;4;1;1;1;1;0;1;1;0;0;0;0;nein;35;0;0;1;0;0;1;1;1;2;1;1;2;1;1;1;1;0;0;NA;3;30;0;0;1;1;1;3;1;3;4;3;1;1;1;1;0;2;1;0;0;0;nein;31;0;0;0;0;0;0;1;3;4;2;1;1;3;1;2;3;0;0;NA;0;31;0;0;1;1;1;3;1;3;4;3;1;1;1;0;1;2;0;0;0;0;nein;36;0;0;0;0;0;0;1;2;3;0;1;1;1;0;1;2;0;0;NA;0
36;AB_PLD_6;39;15;0;0;0;NA;"""Theater, Klasse, Englisch, lustig""";4;0;0;NA;NA;0;0;0;0;0;1;0;0;0;0;0;0;1;nein;grande partie du texte incompréhensible;18;0;0;0;1;família, brasil, brincar ;3;0;0;NA;0;0;1;0;1;1;3;1;2;3;0;0;0;NA;48;0;0;0;0;"""Paris, Familie, Flugzeug, schön, lieben, Land""";6;0;0;NA;NA;0;1;2;3;2;2;0;0;0;2;1;0;2;nein;Familienreise statt Schulreise;44;0;0;0;1;paris, torre, bonita, ir, hotel, piscina, grande, funda, brincar;9;0;0;NA;0;0;1;2;3;3;3;0;1;2;0;0;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;73;1;0;1;1;paris, disney, princesas, brinquedos, fixe, piscina, horas, ficar, hotal, chave, melhor, estrelas, ferias;13;0;0;NA;e depois (2), 22:05 horas, até 00:00;3;1;2;3;3;3;0;2;2;0;3;0;NA;PLD;d;1;d1;1;39;27;0;0;1;0;0;1;1;1;2;1;1;1;2;0;2;2;0;0;0;2;nein;30;0;0;1;0;0;1;1;1;2;1;1;2;3;0;1;2;0;0;NA;0;28;0;0;1;1;0;2;1;3;4;3;1;2;2;2;2;2;0;0;1;1;nein;64;0;0;1;1;0;2;1;3;4;3;1;1;1;2;2;4;0;1;NA;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;76;0;0;1;1;1;3;1;3;4;3;1;1;2;0;2;2;0;0;NA;1
37;AB_PLD_7;40;22;0;0;0;NA;"""Wald, giftige Schlange, Freund, übergeben, sterben, wegrennen""";6;0;0;NA;"""und(1), dann(1)""";2;1;0;1;1;2;0;0;2;0;0;0;0;nein;krasse Story;15;0;0;0;1;Portugal, brincar, piratas ;3;0;0;NA;0;0;1;0;1;1;2;1;1;3;0;0;3;NA;39;0;0;0;0;"""Tante schwanger, Baby, Besuch, Hospital, Verkehrshaus, Spass""";6;0;0;NA;"""und(1), und dann(2), dann(1)""";3;1;0;1;2;3;1;1;2;0;0;0;1;nein;Familienreise statt Schulreise, hospital als Transfer?;12;0;0;0;1;Portugal, brincar, amigo;3;0;0;NA;0;0;1;0;1;1;2;0;2;3;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;21;0;0;0;1;casa, ferias, televisão, jogar, futebol, amigos;6;0;0;NA;0;0;1;0;1;1;2;1;2;1;0;0;0;a écrit au present, mais ok pour ce cas c'est une idée d'habitude pour foutes les vacances;PLD;d;1;d1;1;40;23;0;0;1;0;0;1;1;3;4;1;1;1;1;0;2;3;0;0;0;0;nein;34;0;0;0;0;0;0;1;3;4;1;0;2;1;1;1;3;0;0;NA;1;22;0;0;0;0;0;0;1;3;4;1;0;2;1;1;2;3;0;0;1;0;nein;21;0;0;1;0;0;1;1;3;4;0;1;1;1;0;2;2;0;0;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22;0;0;1;0;0;1;1;3;4;0;1;1;2;0;2;2;0;0;NA;1
38;AB_PLD_8;41;19;0;0;0;0;"""Wald, Freund, Pilz, sterben""";4;0;0;NA;"""und(2)""";1;1;0;1;2;2;0;0;1;0;0;1;1;nein;NA;21;0;0;0;1;férias, Portugal, brincar, rir, cair, hospital;6;0;0;NA;0;0;1;0;1;1;2;0;2;2;0;0;2;NA;41;0;0;0;1;"""Wald, Bratwurst, cool, gespielt, andere Sachen, 8-15h""";6;0;1;"""8.00h-15h""";"""und(2), und noch(1)""";2;1;2;4;2;3;0;1;2;1;0;1;1;nein;NA;30;0;0;0;1;dormir, sonhar, perseguir, x, avó, atirar, morrer, florestas;8;0;0;NA;e depois;1;1;0;1;3;2;0;2;2;0;0;1;NA;40;0;0;0;1;"""Schulreise, Zug, Schiff, Armdrücken, unterwegs, Armdrücken""";6;0;1;"""den ganzen Tag""";"""dann(1)""";1;1;2;4;2;2;0;1;1;0;0;0;0;nein;NA;31;0;0;0;1;colegas, piscina, gelados, batatas fritas, nadar, saltar, altitude, divertido;9;0;0;NA;0;0;1;0;1;1;3;1;2;1;0;0;1;NA;PLD;d;1;d1;1;41;36;0;0;1;1;0;2;0;0;0;3;1;2;1;0;0;2;0;0;3;1;nein;39;0;0;1;0;0;1;1;3;4;2;1;2;1;2;2;3;0;0;NA;1;44;0;0;1;0;0;1;1;3;4;3;1;1;1;0;1;3;1;0;0;1;nein;32;0;0;1;0;0;1;1;3;4;3;1;3;1;2;2;3;0;0;NA;1;60;0;0;1;0;0;1;1;3;4;1;1;1;2;0;1;2;0;0;2;0;nein;25;0;0;1;0;0;1;1;3;4;2;1;2;2;2;2;4;0;0;NA;0
39;AC_PLD_1;42;45;0;0;0;1;"""Purenfest, Ball verzieren, zöpfeln, anmachen, Picknick, gehen, Pferde, Kühe, Ziegen""";6;0;0;NA;"""und(2), und wann(1)""";2;1;2;3;1;2;0;0;2;0;0;0;1;ja; ;47;0;0;0;1;hotel, praia, piscina, quarto, televisão, banheira, praia, água, caracol;9;0;0;NA;0;0;1;0;1;3;2;2;2;4;0;0;1;NA;117;0;0;0;0;"""Portugal, Morgen, draussen, Katze, Schneidersitz, Boden, Schoss, rein, umziehen, Eltern aufwecken, umziehen, Kaffee, Cousine, Zmorge, Mittag, Boxer, Hause, Mittagessen, Wohnzimmer, Fernseh, Bett""";21;0;2;"""am Morgen, 8 Uhr""";"""und(9), und danach(1), und dann(3), nachher(1)""";4;1;1;4;3;2;0;0;2;0;0;0;1;ja;NA;48;0;0;0;1;Portugal, hotel, piscinas, praia, tio, tia, pais, agua, toalhas;9;0;0;NA;0;0;1;2;3;3;2;0;2;2;0;0;0;NA;75;0;0;0;1;"""Schulreise, Wald, Waldwoche, 3. Klasse, Hütte, Baumstamm, Fuss, schreien, Lachanfall, Suppe, Hügel, Feuer""";12;0;0;NA;"""und(4), dann(1)""";2;1;0;1;2;2;1;0;2;0;0;0;1;nein;NA;87;0;0;0;1;dia de ferias, acordar, braga, lisboa, demorar, em cima, embaixo, tempo, perguntar, chegar, 12h, andar, rio, hotel, quarto, apartamento;16;0;0;NA;12:00 horas;1;1;2;3;3;2;0;2;2;0;0;2;NA;PLD;d;1;d1;1;42;37;0;0;0;0;0;0;1;3;4;1;0;1;1;0;1;4;0;0;0;0;nein ;29;0;0;0;0;0;0;1;2;3;0;0;1;1;1;2;3;0;0;NA;1;28;0;0;0;0;0;0;1;1;2;1;0;1;1;0;1;2;0;0;0;0;nein;18;0;0;1;0;0;1;1;2;3;1;1;1;1;1;2;3;0;0;NA;1;37;0;0;1;1;1;3;1;2;3;3;1;1;1;0;1;2;0;0;0;0;nein;50;0;0;1;1;1;3;1;3;4;2;1;1;2;0;2;2;0;0;NA;1
40;AC_PLD_2;43;26;0;0;0;1;"""Zoo, sehen, Robben etc., Affen, lustig""";5;0;0;NA;NA;0;1;0;1;2;3;1;1;1;0;0;0;0;ja; ;40;0;0;0;1;Zoo, peixes, passarinhos, macacos, amigos, X;6;0;0;NA;0;0;1;0;1;3;3;1;1;3;0;0;2;NA;73;1;0;1;1;"""Schule, üben, Präsentation, Würstchen und Brot, spielen, HipHop, Mutter, Theater, Kindergarten, Mutter von Raphael, schlafen""";11;0;1;"""2.Juli""";"""und dann(3), und(1), dann(1), danach(1)""";4;1;0;2;3;2;0;0;2;0;0;0;1;nein;NA;45;1;0;1;1;férias, madrinha, pintar as unhas, fotos, falar, comer, suiça;7;0;0;NA;e depois (3);1;1;2;3;1;3;0;1;2;0;0;3;NA;39;1;1;2;0;"""Freundinnen, Spiele, Kino, Film, Geschenke, spielen, verlieren, Spass""";8;0;0;NA;"""dann(1)""";1;1;0;1;2;3;0;0;2;0;0;2;0;nein;NA;37;1;1;2;1;dia de ferias, acordar, praia, castelos, areia, dia, comer, casa;8;0;0;NA;depois;1;1;0;1;3;3;1;2;4;0;0;1;NA;PLD;d;1;d1;1;43;32;0;0;1;0;0;1;1;3;4;2;1;2;1;0;1;2;0;0;0;0;nein ;28;0;0;1;0;0;1;1;3;4;0;1;1;1;1;2;4;0;0;NA;3;36;0;0;1;1;1;3;1;3;4;3;1;2;1;0;1;2;0;0;0;0;nein;29;0;0;1;1;1;3;1;3;4;3;1;2;3;0;2;3;0;0;NA;1;60;0;0;1;1;1;3;1;3;4;3;1;2;1;1;0;2;0;0;1;0;ja;46;0;0;1;1;1;3;1;3;4;2;1;1;1;0;1;2;0;0;NA;3
